"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"06-baseline-ER-power-law-Tang"
"06/17/2026 16:24:51:169 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","power-law-lambda","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"98","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","8","1","8","0.0015","0.13","5.979"
"99","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","18","1","18","0.0023611111111111116","0.13","5.979"
"101","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","11","1","11","0.002","0.13","5.979"
"100","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","12","1","12","0.0014583333333333338","0.13","5.979"
"102","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","10","1","10","0.0020500000000000006","0.13","5.979"
"103","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","5","1","5","0.0018000000000000002","0.13","5.979"
"104","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","6","1","6","0.0023333333333333335","0.13","5.979"
"105","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","19","1","19","0.0025526315789473693","0.13","5.979"
"106","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","26","1","26","0.0030961538461538466","0.13","5.979"
"107","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","20","1","20","0.002450000000000001","0.13","5.979"
"108","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","16","1","16","0.0011562500000000004","0.13","5.979"
"109","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","42","1","42","0.00105952380952381","0.13","5.979"
"110","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","13","1","13","0.002230769230769231","0.13","5.979"
"111","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","13","1","13","0.002884615384615385","0.13","5.979"
"112","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","19","1","19","0.0018157894736842107","0.13","5.979"
"113","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","10","1","10","0.00165","0.13","5.979"
"114","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","35","1","35","0.0014428571428571433","0.13","5.979"
"115","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","15","1","15","0.0018333333333333335","0.13","5.979"
"116","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","20","1","20","0.00155","0.13","5.979"
"117","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","9","1","9","0.0016666666666666666","0.13","5.979"
"118","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","9","1","9","0.001611111111111111","0.13","5.979"
"119","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","16","1","16","0.0010937500000000005","0.13","5.979"
"120","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","24","1","24","0.0021875000000000006","0.13","5.979"
"121","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","19","1","19","0.0025263157894736847","0.14","5.979"
"123","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","14","1","14","0.0033214285714285724","0.14","5.979"
"122","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","25","1","25","0.0014200000000000003","0.14","5.979"
"124","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","10","1","10","0.0024999999999999996","0.14","5.979"
"125","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","21","1","21","0.0016904761904761906","0.14","5.979"
"126","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","8","1","8","0.00175","0.14","5.979"
"127","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","11","1","11","0.0018181818181818186","0.14","5.979"
"129","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","10","1","10","0.0014","0.14","5.979"
"128","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","12","1","12","0.0022083333333333334","0.14","5.979"
"130","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","14","1","14","0.0011785714285714286","0.14","5.979"
"131","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","18","1","18","0.0011388888888888896","0.14","5.979"
"132","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","10","1","10","0.0021000000000000003","0.14","5.979"
"133","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","19","1","19","0.0021315789473684214","0.14","5.979"
"134","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","17","1","17","0.0023235294117647065","0.14","5.979"
"135","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","13","1","13","0.0018846153846153848","0.14","5.979"
