"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"05-baseline-empirical-threshold-ER"
"06/17/2026 15:47:41:073 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"152","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","50","1","50","0.0019900000000000013","0.15","5.979"
"153","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","22","1","22","0.0012272727272727277","0.15","5.979"
"154","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","16","1","16","6.875000000000004E-4","0.15","5.979"
"155","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","14","1","14","0.001535714285714286","0.15","5.979"
"156","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","18","1","18","0.0015555555555555557","0.15","5.979"
"158","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","17","1","17","0.0012058823529411766","0.15","5.979"
"157","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","51","1","51","0.00169607843137255","0.15","5.979"
"159","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","16","1","16","0.0015937500000000005","0.15","5.979"
"160","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","16","1","16","8.437500000000003E-4","0.15","5.979"
"161","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","26","1","26","0.001307692307692308","0.15","5.979"
"162","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","12","1","12","0.0012916666666666667","0.15","5.979"
