"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"07-baseline-ER-lognormal-Tang"
"06/17/2026 17:16:22:190 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"138","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","21","1","21","0.0010000000000000002","0.14","5.979"
"137","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","35","1","35","0.0020142857142857154","0.14","5.979"
"139","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","49","1","49","0.00153061224489796","0.14","5.979"
"140","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","15","1","15","0.002","0.14","5.979"
"141","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","7","1","7","0.0012857142857142859","0.14","5.979"
"142","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","6","1","6","6.666666666666666E-4","0.14","5.979"
"144","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","6","1","6","7.500000000000001E-4","0.14","5.979"
"143","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","88","1","88","0.001369318181818183","0.14","5.979"
"146","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","10","1","10","0.0011000000000000003","0.15","5.979"
"145","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","22","1","22","6.363636363636367E-4","0.15","5.979"
"148","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","5","1","5","8.0E-4","0.15","5.979"
"147","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","73","1","73","0.0028082191780821933","0.15","5.979"
"149","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","25","1","25","0.0018400000000000005","0.15","5.979"
"150","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","5","1","5","0.0013","0.15","5.979"
"151","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","8","1","8","0.0012500000000000002","0.15","5.979"
"152","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","12","1","12","0.002458333333333333","0.15","5.979"
"153","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","16","1","16","0.0010000000000000002","0.15","5.979"
"154","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","12","1","12","0.0012500000000000002","0.15","5.979"
"156","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","4","1","4","0.0011250000000000001","0.15","5.979"
"155","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","78","1","78","0.0033974358974358998","0.15","5.979"
"157","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","38","1","38","0.0014473684210526325","0.15","5.979"
"158","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","6","1","6","8.333333333333335E-4","0.15","5.979"
"159","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","10","1","10","0.0010000000000000002","0.15","5.979"
"160","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","7","1","7","0.0010714285714285717","0.15","5.979"
"161","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","15","1","15","9.666666666666671E-4","0.15","5.979"
"162","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","8","1","8","6.875000000000002E-4","0.15","5.979"
"163","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","23","1","23","0.001130434782608696","0.15","5.979"
"164","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","14","1","14","0.001571428571428572","0.15","5.979"
"165","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","15","1","15","0.0010000000000000002","0.15","5.979"
"166","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","23","1","23","5.869565217391308E-4","0.15","5.979"
"167","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","20","1","20","0.0013500000000000005","0.15","5.979"
"168","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.03","7","1","7","0.0015000000000000002","0.15","5.979"
"169","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","15","1","15","0.0012333333333333335","0.16","5.979"
"171","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","2","1","2","2.5E-4","0.16","5.979"
"170","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","38","1","38","0.0020131578947368426","0.16","5.979"
"172","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","7","1","7","7.142857142857144E-4","0.16","5.979"
"173","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","7","1","7","9.285714285714287E-4","0.16","5.979"
"174","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","26","1","26","0.001788461538461539","0.16","5.979"
"175","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","11","1","11","9.545454545454549E-4","0.16","5.979"
"176","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","21","1","21","0.0014285714285714292","0.16","5.979"
"177","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","65","1","65","0.0020846153846153857","0.16","5.979"
"178","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","16","1","16","0.0025","0.16","5.979"
"180","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","5","1","5","0.001","0.16","5.979"
"179","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","94","1","94","0.0013404255319148944","0.16","5.979"
"181","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","25","1","25","0.0014400000000000007","0.16","5.979"
"182","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","12","1","12","0.0015000000000000002","0.16","5.979"
"183","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.032","18","1","18","0.001305555555555556","0.16","5.979"
